"entrez","genes","chr","start","end","strand"
"258803","Olfr136","chr17",38470104,38472103,"+"
"258804","Olfr1240","chr2",89280501,89282500,"-"
"258805","Olfr1426","chr19",12166338,12168337,"-"
"258806","Olfr912","chr9",38385829,38387828,"+"
"258807","Olfr910","chr9",38343467,38345466,"+"
"258808","Olfr620","chr7",110760866,110762865,"-"
"258809","Olfr651","chr7",111699398,111701397,"+"
"258810","Olfr665","chr7",112027223,112029222,"+"
"258811","Olfr926","chr9",38682763,38684762,"+"
"258812","Olfr923","chr9",38633200,38635199,"+"
"258814","Olfr1156","chr2",87790423,87792422,"-"
"258815","Olfr1218","chr2",88895582,88897581,"-"
"258816","Olfr466","chr13",65251534,65253533,"+"
"258817","Olfr655","chr7",111745694,111747693,"-"
"258818","Olfr629","chr7",110889837,110891836,"-"
"258819","Olfr640","chr7",111170831,111172830,"-"
"258820","Olfr1184","chr2",88324891,88326890,"+"
"258821","Olfr273","chr4",52869384,52871383,"-"
"258822","Olfr39","chr9",20084795,20086794,"+"
"258823","Olfr969","chr9",39600962,39602961,"+"
"258824","Olfr983","chr9",39901144,39903143,"-"
"258825","Olfr975","chr9",39758355,39760354,"-"
"258826","Olfr27","chr9",38933752,38935751,"+"
"258828","Olfr133","chr17",38283535,38285534,"+"
"258829","Olfr134","chr17",38310031,38312030,"+"
"258830","Olfr103","chr17",37474176,37476175,"-"
"258831","Olfr101","chr17",37437366,37439365,"-"
"258832","Olfr109","chr17",37601153,37603152,"+"
"258833","Olfr1132","chr2",87475903,87477902,"-"
"258834","Olfr1126","chr2",87295324,87297323,"+"
"258835","Olfr1130","chr2",87444369,87446368,"+"
"258836","Olfr272","chr4",52924665,52926664,"-"
"258837","Olfr545","chr7",109643288,109645287,"-"
"258838","Olfr617","chr7",110730538,110732537,"+"
"258840","Olfr1097","chr2",86732321,86734320,"-"
"258841","Olfr1107","chr2",86912381,86914380,"-"
"258842","Olfr1098","chr2",86763688,86765687,"-"
"258843","Olfr1087","chr2",86531131,86533130,"-"
"258844","Olfr1090","chr2",86594894,86596893,"-"
"258845","Olfr1161","chr2",87862859,87864858,"+"
"258846","Olfr1157","chr2",87808415,87810414,"-"
"258850","Olfr295","chr7",93731787,93733786,"+"
"258851","Olfr1339","chr4",118405136,118407135,"+"
"258852","Olfr1341","chr4",118380014,118382013,"+"
"258853","Olfr982","chr9",39879882,39881881,"+"
"258854","Olfr985","chr9",39935625,39937624,"-"
"258857","Olfr275","chr4",52836271,52838270,"+"
"258858","Olfr371","chr8",87752396,87754395,"+"
"258859","Olfr161","chr16",3590398,3592397,"+"
"258861","Olfr763","chr10",128446343,128448342,"+"
"258862","Olfr770","chr10",128570823,128572822,"-"
"258863","Olfr768","chr10",128531029,128533028,"-"
"258865","Olfr992","chr2",85240689,85242688,"-"
"258866","Olfr1008","chr2",85527588,85529587,"+"
"258867","Olfr131","chr17",38219922,38221921,"-"
"258868","Olfr894","chr9",38024403,38026402,"+"
"258869","Olfr147","chr9",38207296,38209295,"+"
"258871","Olfr898","chr9",38154670,38156669,"+"
"258872","Olfr908","chr9",38321619,38323618,"+"
"258873","Olfr911-ps1","chr9",38329315,38331314,"+"
"258874","Olfr900","chr9",38183468,38185467,"+"
"258875","Olfr895","chr9",38074100,38076099,"+"
"258877","Olfr1395","chr11",48959761,48961760,"+"
"258879","Olfr330","chr11",58348328,58350327,"-"
"258880","Olfr218","chr1",175131489,175133488,"+"
"258881","Olfr1404","chr1",175143738,175145737,"+"
"258882","Olfr874","chr9",37551721,37553720,"+"
"258883","Olfr876","chr9",37609474,37611473,"+"
"258886","Olfr1299","chr2",111499610,111501609,"+"
"258887","Olfr1294","chr2",111378445,111380444,"-"
"258888","Olfr1298","chr2",111486153,111488152,"-"
"258889","Olfr1301","chr2",111592408,111594407,"+"
"258890","Olfr1297","chr2",111462230,111464229,"-"
"258891","Olfr1302","chr2",111618470,111620469,"+"
"258892","Olfr126","chr17",37985539,37987538,"+"
"258893","Olfr1225","chr2",89011403,89013402,"-"
"258894","Olfr1223","chr2",88991494,88993493,"-"
"258895","Olfr1216","chr2",88854220,88856219,"-"
"258896","Olfr1206","chr2",88702764,88704763,"+"
"258897","Olfr1201","chr2",88632541,88634540,"+"
"258898","Olfr1205","chr2",88669276,88671275,"+"
"258899","Olfr1214","chr2",88828358,88830357,"-"
"258900","Olfr1213","chr2",88820425,88822424,"-"
"258901","Olfr1219","chr2",88915247,88917246,"-"
"258902","Olfr1220","chr2",88938121,88940120,"-"
"258903","Olfr1217","chr2",88864257,88866256,"-"
"258904","Olfr1221","chr2",88952668,88954667,"-"
"258905","Olfr871","chr9",20014651,20016650,"+"
"258907","Olfr851","chr9",19299194,19301193,"+"
"258908","Olfr853","chr9",19342373,19344372,"-"
"258909","Olfr1282","chr2",111176234,111178233,"-"
"258910","Olfr1280","chr2",111153638,111155637,"+"
"258912","Olfr1378","chr11",50780522,50782521,"+"
"258913","Olfr1377","chr11",50796205,50798204,"+"
"258914","Olfr211","chr6",116441629,116443628,"+"
"258915","Olfr1348","chr7",6454936,6456935,"-"
"258917","Olfr1336","chr7",6411222,6413221,"+"
"258918","Olfr1346","chr7",6424823,6426822,"+"
"258919","Olfr1179","chr2",88243090,88245089,"-"
"258920","Olfr1180","chr2",88252847,88254846,"-"
"258921","Olfr1188","chr2",88397608,88399607,"+"
"258922","Olfr267","chr4",58798593,58800592,"-"
"258923","Olfr1","chr11",73212998,73214997,"-"
"258924","Olfr376","chr11",73182748,73184747,"+"
"258925","Olfr20","chr11",73162361,73164360,"+"
"258926","Olfr476","chr7",115108913,115110912,"+"
"258927","Olfr481","chr7",115222310,115224309,"+"
"258928","Olfr477","chr7",115131881,115133880,"+"
"258929","Olfr799","chr10",129082186,129084185,"+"
"258930","Olfr808","chr10",129202554,129204553,"+"
"258931","Olfr807","chr10",129192505,129194504,"-"
"258932","Olfr791","chr10",128961285,128963284,"+"
"258933","Olfr796","chr10",129045536,129047535,"-"
"258934","Olfr802","chr10",129119794,129121793,"-"
"258935","Olfr790","chr10",128935942,128937941,"+"
"258937","Olfr167","chr16",19515728,19517727,"-"
"258938","Olfr1417","chr19",11903515,11905514,"-"
"258939","Olfr63","chr17",33403671,33405670,"+"
"258940","Olfr346","chr2",36541524,36543523,"+"
"258941","Olfr354","chr2",36760468,36762467,"+"
"258942","Olfr352","chr2",36723088,36725087,"+"
"258943","Olfr353","chr2",36746367,36748366,"-"
"258944","Olfr351","chr2",36715867,36717866,"-"
"258945","Olfr347","chr2",36587843,36589842,"+"
"258946","Olfr348","chr2",36640047,36642046,"+"
"258947","Olfr345","chr2",36493561,36495560,"+"
"258949","Olfr338","chr2",36230298,36232297,"+"
"258950","Olfr342","chr2",36380934,36382933,"+"
"258951","Olfr339","chr2",36274920,36276919,"+"
"258952","Olfr341","chr2",36335649,36337648,"-"
"258953","Olfr340","chr2",36306107,36308106,"+"
"258954","Olfr522","chr7",147348848,147350847,"-"
"258955","Olfr531","chr7",147586944,147588943,"-"
"258956","Olfr535","chr7",147676539,147678538,"+"
"258958","Olfr525","chr7",147506600,147508599,"+"
"258959","Olfr170","chr16",19606760,19608759,"-"
"258960","Olfr171","chr16",19625195,19627194,"-"
"258961","Olfr631","chr7",111061576,111063575,"+"
"258962","Olfr53","chr7",147835880,147837879,"+"
"258963","Olfr539","chr7",147851188,147853187,"+"
"258964","Olfr541","chr7",147888152,147890151,"+"
"258967","Olfr1250","chr2",89497597,89499596,"-"
"258968","Olfr1247","chr2",89450311,89452310,"-"
"258969","Olfr1226","chr2",89034190,89036189,"-"
"258970","Olfr1242","chr2",89334504,89336503,"-"
"258971","Olfr1243","chr2",89368566,89370565,"-"
"258972","Olfr1239","chr2",89258569,89260568,"-"
"258973","Olfr1228","chr2",89089850,89091849,"-"
"258974","Olfr1233","chr2",89180458,89182457,"-"
"258975","Olfr1234","chr2",89203585,89205584,"-"
"258976","Olfr1262","chr2",89840565,89842564,"+"
"258977","Olfr1273-ps","chr2",90137017,90139016,"-"
"258979","Olfr1255","chr2",89654485,89656484,"+"
"258980","Olfr1258","chr2",89767968,89769967,"+"
"258982","Olfr1272","chr2",90122731,90124730,"-"
"258983","Olfr1260","chr2",89815937,89817936,"+"
"258984","Olfr1257","chr2",89718985,89720984,"+"
"258985","Olfr1256","chr2",89676101,89678100,"-"
"258987","Olfr1270","chr2",89990194,89992193,"-"
"258988","Olfr38","chr6",42710053,42712052,"+"
"258989","Olfr457","chr6",42422176,42424175,"-"
"258990","Olfr447","chr6",42859524,42861523,"+"
"258991","Olfr1496","chr19",13853038,13855037,"+"
"258992","Olfr1494","chr19",13821598,13823597,"+"
"258993","Olfr206","chr16",59345526,59347525,"-"
"258994","Olfr204","chr16",59315232,59317231,"-"
"258995","Olfr176","chr16",58872975,58874974,"-"
"258996","Olfr201","chr16",59269492,59271491,"-"
"258997","Olfr202","chr16",59284322,59286321,"-"
"258999","Olfr178","chr16",58890045,58892044,"-"
"259000","Olfr195","chr16",59146678,59148677,"+"
"259001","Olfr181","chr16",58928471,58930470,"-"
"259002","Olfr173","chr16",58797739,58799738,"-"
"259003","Olfr172","chr16",58761354,58763353,"-"
"259004","Olfr175-ps1","chr16",58826588,58828587,"-"
"259005","Olfr139","chr11",73858775,73860774,"-"
"259006","Olfr399","chr11",73868281,73870280,"-"
"259007","Olfr395","chr11",73720993,73722992,"-"
"259008","Olfr392","chr11",73630380,73632379,"-"
"259009","Olfr394","chr11",73701873,73703872,"-"
"259010","Olfr393","chr11",73661626,73663625,"-"
"259011","Olfr389","chr11",73594092,73596091,"-"
"259012","Olfr1052","chr2",86135975,86137974,"+"
"259013","Olfr1044","chr2",86011973,86013972,"-"
"259014","Olfr1047","chr2",86069127,86071126,"-"
"259015","Olfr1038-ps","chr2",85958381,85960380,"+"
"259016","Olfr1048","chr2",86076991,86078990,"-"
"259017","Olfr1019","chr2",85681947,85683946,"-"
"259018","Olfr1049","chr2",86095849,86097848,"-"
"259019","Olfr1045","chr2",86038908,86040907,"-"
"259020","Olfr1056","chr2",86196595,86198594,"-"
"259021","Olfr1054","chr2",86173512,86175511,"-"
"259022","Olfr1061","chr2",86254208,86256207,"-"
"259023","Olfr1055","chr2",86187922,86189921,"-"
"259024","Olfr381","chr11",73300325,73302324,"-"
"259025","Olfr385","chr11",73403239,73405238,"-"
"259026","Olfr378","chr11",73241980,73243979,"-"
"259027","Olfr380","chr11",73267713,73269712,"-"
"259028","Olfr532","chr7",147605671,147607670,"-"
"259030","Olfr1124","chr2",87272646,87274645,"+"
"259031","Olfr1120","chr2",87195603,87197602,"+"
"259032","Olfr1134","chr2",87498615,87500614,"-"
"259033","Olfr1122","chr2",87225864,87227863,"+"
"259034","Olfr705","chr7",114017758,114019757,"-"
"259035","Olfr714","chr7",114215344,114217343,"+"
"259036","Olfr713","chr7",114177650,114179649,"+"
"259037","Olfr711","chr7",114118966,114120965,"-"
"259038","Olfr283","chr15",98209540,98211539,"-"
"259039","Olfr1413","chr1",94467702,94469701,"+"
"259040","Olfr1416","chr1",94377197,94379196,"-"
"259041","Olfr1414","chr1",94415093,94417092,"-"
"259042","Olfr1351","chr10",78478069,78480068,"+"
"259044","Olfr1353","chr10",78424054,78426053,"+"
"259045","Olfr669","chr7",112085042,112087041,"+"
"259046","Olfr679","chr7",112232232,112234231,"+"
"259047","Olfr683","chr7",112292824,112294823,"-"
"259048","Olfr600","chr7",110495441,110497440,"-"
"259049","Olfr618","chr7",110743832,110745831,"+"
"259050","Olfr652","chr7",111710666,111712665,"+"
"259051","Olfr658","chr7",111795820,111797819,"-"
"259052","Olfr659","chr7",111817218,111819217,"+"
"259053","Olfr362","chr2",36961169,36963168,"-"
"259054","Olfr589","chr7",110304260,110306259,"-"
"259055","Olfr582","chr7",110187995,110189994,"+"
"259056","Olfr584","chr7",110232034,110234033,"+"
"259057","Olfr649","chr7",111338720,111340719,"-"
"259058","Olfr646","chr7",111252795,111254794,"+"
"259061","Olfr668","chr7",112074277,112076276,"-"
"259062","Olfr667","chr7",112065809,112067808,"-"
"259063","Olfr691","chr7",112486229,112488228,"-"
"259064","Olfr124","chr17",37940014,37942013,"+"
"259066","Olfr520","chr7",106881655,106883654,"+"
"259067","Olfr449","chr6",42785882,42787881,"+"
"259068","Olfr1390","chr11",49152036,49154035,"+"
"259069","Olfr1389","chr11",49241929,49243928,"+"
"259070","Olfr829","chr9",18659071,18661070,"+"
"259071","Olfr166","chr16",19484933,19486932,"+"
"259072","Olfr686","chr7",112352856,112354855,"-"
"259073","Olfr603","chr7",110532515,110534514,"-"
"259074","Olfr1352","chr10",78441795,78443794,"+"
"259075","Olfr641","chr7",111186312,111188311,"+"
"259078","Olfr656","chr7",111764171,111766170,"+"
"259080","Olfr619","chr7",110750103,110752102,"+"
"259081","Olfr643","chr7",111208115,111210114,"-"
"259082","Olfr1062","chr2",86263832,86265831,"-"
"259083","Olfr547","chr7",109681263,109683262,"+"
"259084","Olfr615","chr7",110706993,110708992,"+"
"259085","Olfr610","chr7",110655459,110657458,"-"
"259086","Olfr609","chr7",110641391,110643390,"-"
"259087","Olfr622","chr7",110788653,110790652,"-"
"259088","Olfr639","chr7",111161215,111163214,"-"
"259089","Olfr571","chr7",110058352,110060351,"-"
"259091","Olfr585","chr7",110244257,110246256,"+"
"259092","Olfr569","chr7",110036666,110038665,"-"
"259093","Olfr572","chr7",110074144,110076143,"+"
"259095","Olfr568","chr7",110023636,110025635,"+"
"259096","Olfr561","chr7",109921040,109923039,"+"
"259097","Olfr558","chr7",109848837,109850836,"+"
"259098","Olfr606","chr7",110597853,110599852,"+"
"259099","Olfr676","chr7",112181714,112183713,"+"
"259100","Olfr666","chr7",112042141,112044140,"-"
"259102","Olfr630","chr7",110905865,110907864,"-"
"259103","Olfr616","chr7",110713792,110715791,"-"
"259104","Olfr613","chr7",110696882,110698881,"+"
"259105","Olfr549","chr7",109700800,109702799,"+"
"259106","Olfr552","chr7",109750870,109752869,"+"
"259107","Olfr555","chr7",109805337,109807336,"+"
"259108","Olfr550","chr7",109724983,109726982,"+"
"259109","Olfr978","chr9",39799397,39801396,"+"
"259110","Olfr980","chr9",39814615,39816614,"-"
"259111","Olfr974","chr9",39747847,39749846,"+"
"259112","Olfr979","chr9",39808836,39810835,"-"
"259113","Olfr577","chr7",110122505,110124504,"-"
"259114","Olfr570","chr7",110046883,110048882,"+"
"259115","Olfr586","chr7",110271297,110273296,"-"
"259116","Olfr559","chr7",109873003,109875002,"-"
"259117","Olfr560","chr7",109902442,109904441,"-"
"259118","Olfr575","chr7",110104135,110106134,"-"
"259119","Olfr578","chr7",110133677,110135676,"-"
"259122","Olfr635","chr7",111125690,111127689,"+"
"259123","Olfr632","chr7",111083896,111085895,"+"
"259124","Olfr638","chr7",111149773,111151772,"+"
"259125","Olfr644","chr7",111217544,111219543,"-"
"259126","Olfr623","chr7",110809833,110811832,"-"
"259143","Olfr503","chr7",115686041,115688040,"+"
"259144","Olfr456","chr6",42437214,42439213,"-"
"259145","Olfr1251","chr2",89508042,89510041,"-"
"259147","Olfr723","chr14",50549244,50551243,"-"
"259148","Olfr329-ps","chr11",58358441,58360440,"-"
"259151","Olfr1037","chr2",85926012,85928011,"-"
"259159","Olfr628","chr7",110878442,110880441,"+"
"259161","Olfr688","chr7",112434609,112436608,"+"
"259162","Olfr427","chr1",176027591,176029590,"+"
"259163","Olfr1354","chr10",78377587,78379586,"+"
"259165","Olfr814","chr10",129311812,129313811,"-"
"259172","Mfrp","chr9",43907853,43909852,"+"
"259277","Klk8","chr7",51050947,51052946,"+"
"259279","Tubgcp3","chr8",12672101,12674100,"-"
"259300","Ehd2","chr7",16552885,16554884,"-"
"259301","Leap2","chr11",53236639,53238638,"-"
"259302","Srgap3","chr6",112897261,112899260,"-"
"260296","Trim61","chr8",67542588,67544587,"-"
"260297","Prrt1","chr17",34764631,34766630,"+"
"260298","Fev","chr1",74931983,74933982,"-"
"260299","Cadm4","chr7",25265042,25267041,"+"
"260301","Otos","chr1",94545419,94547418,"-"
"260302","Gga3","chr11",115465221,115467220,"-"
"260305","Nphp4","chr4",151850251,151852250,"+"
"260315","Nav3","chr10",109260676,109262675,"-"
"260408","Prss45","chr9",110735092,110737091,"+"
"260409","Cdc42ep3","chr17",79754432,79756431,"-"
"260423","Hist1h3f","chr13",23633921,23635920,"+"
"263406","Plekhg3","chr12",77632547,77634546,"+"
"26356","Ing1","chr8",11553855,11555854,"+"
"26357","Abcg2","chr6",58544666,58546665,"+"
"26358","Aldh1a7","chr19",20802047,20804046,"-"
"26359","Anxa10","chr8",64601916,64603915,"-"
"26360","Angptl2","chr2",33069481,33071480,"+"
"26361","Avpr1b","chr1",133493691,133495690,"+"
"26362","Axl","chr7",26573753,26575752,"-"
"26363","Btd","chr14",32452243,32454242,"+"
"26364","Cd97","chr8",86265211,86267210,"-"
"26365","Ceacam1","chr7",26262645,26264644,"-"
"26366","Ceacam10","chr7",25560223,25562222,"+"
"26367","Ceacam2","chr7",26325024,26327023,"-"
"26368","Ceacam9","chr7",17305278,17307277,"+"
"26369","Cetn1","chr18",9619477,9621476,"-"
"26370","Cetn2","chrX",70162196,70164195,"-"
"26371","Ciao1","chr2",127073553,127075552,"-"
"26372","Clcn6","chr4",147398325,147400324,"-"
"26373","Clcn7","chr17",25268339,25270338,"+"
"26374","Rfwd2","chr1",161160457,161162456,"+"
"263764","Creg2","chr1",39708028,39710027,"-"
"26377","Dapp1","chr3",137644514,137646513,"-"
"26378","Decr2","chr17",26227110,26229109,"-"
"26379","Esrra","chr19",6996299,6998298,"-"
"26380","Esrrb","chr12",87700067,87702066,"+"
"263803","Pkn3","chr2",29931263,29933262,"+"
"26381","Esrrg","chr1",189430908,189432907,"+"
"26382","Fgd2","chr17",29495859,29497858,"+"
"26383","Fto","chr8",93835424,93837423,"+"
"26384","Gnpda1","chr18",38498648,38500647,"-"
"26385","Grk6","chr13",55544433,55546432,"+"
"26386","Hsf4","chr8",107791774,107793773,"+"
"263876","Spata2","chr2",167318375,167320374,"-"
"26388","Ifi202b","chr1",175912976,175914975,"-"
"26390","Mapkbp1","chr2",119796435,119798434,"+"
"26394","Lypla2","chr4",135527817,135529816,"-"
"26395","Map2k1","chr9",64101413,64103412,"-"
"26396","Map2k2","chr10",80566692,80568691,"+"
"26397","Map2k3","chr11",60743559,60745558,"+"
"26398","Map2k4","chr11",65601800,65603799,"-"
"26399","Map2k6","chr11",110258436,110260435,"+"
"26400","Map2k7","chr8",4236740,4238739,"+"
"26401","Map3k1","chr13",112599192,112601191,"-"
"26403","Map3k11","chr19",5687131,5689130,"+"
"26404","Map3k12","chr15",102341132,102343131,"-"
"26405","Map3k2","chr18",32320743,32322742,"+"
"26406","Map3k3","chr11",105944216,105946215,"+"
"264064","Cdk8","chr5",147040826,147042825,"+"
"26407","Map3k4","chr17",12511527,12513526,"-"
"26408","Map3k5","chr10",19652332,19654331,"+"
"26409","Map3k7","chr4",32049082,32051081,"+"
"26410","Map3k8","chr18",4352952,4354951,"-"
"26411","Map4k1","chr7",29765069,29767068,"+"
"26412","Map4k2","chr19",6339250,6341249,"+"
"26413","Mapk1","chr16",16981475,16983474,"+"
"264134","Ttc26","chr6",38329524,38331523,"+"
"26414","Mapk10","chr5",103487412,103489411,"-"
"26415","Mapk13","chr17",28904262,28906261,"+"
"26416","Mapk14","chr17",28826287,28828286,"+"
"26417","Mapk3","chr7",133901140,133903139,"+"
"26419","Mapk8","chr14",34224211,34226210,"-"
"26420","Mapk9","chr11",49658253,49660252,"+"
"26422","Nbea","chr3",55590825,55592824,"-"
"26423","Nr5a1","chr2",38567755,38569754,"-"
"26424","Nr5a2","chr1",138846140,138848139,"-"
"26425","Nubp1","chr16",10410031,10412030,"+"
"26426","Nubp2","chr17",25023296,25025295,"-"
"26427","Creb3l1","chr2",91864328,91866327,"-"
"26428","Orc4","chr2",48804788,48806787,"-"
"26429","Orc5","chr5",22056150,22058149,"-"
"26430","Parg","chr14",33013157,33015156,"+"
"26431","Git2","chr5",115223502,115225501,"-"
"26432","Plod2","chr9",92435061,92437060,"+"
"26433","Plod3","chr5",137460889,137462888,"+"
"26434","Prnd","chr2",131733664,131735663,"+"
"26436","Psg16","chr7",17657389,17659388,"+"
"26437","Psg17","chr7",19406941,19408940,"-"
"26438","Psg18","chr7",18940357,18942356,"-"
"26439","Psg19","chr7",19383860,19385859,"-"
"26440","Psma1","chr7",121419631,121421630,"-"
"26441","Psma4","chr9",54796666,54798665,"+"
"26442","Psma5","chr3",108057844,108059843,"+"
"26443","Psma6","chr12",56497812,56499811,"+"
"26444","Psma7","chr2",179777108,179779107,"-"
"26445","Psmb2","chr4",126352887,126354886,"+"
"26446","Psmb3","chr11",97562748,97564747,"+"
"26447","Poli","chr18",70689793,70691792,"-"
"26448","Mok","chr12",112079150,112081149,"-"
"26450","Rbbp9","chr2",144376596,144378595,"-"
"26451","Rpl27a","chr7",116660709,116662708,"+"
"26456","Sema4g","chr19",45061834,45063833,"+"
"26457","Slc27a1","chr8",74090826,74092825,"+"
"26458","Slc27a2","chr2",126376760,126378759,"+"
"26459","Slc27a5","chr7",13583542,13585541,"-"
"26462","Txnrd2","chr16",18424510,18426509,"+"
"26464","Vnn3","chr10",23569268,23571267,"+"
"26465","Zfp146","chr7",30954747,30956746,"-"
"26466","Zfp260","chr7",30878095,30880094,"+"
"264895","Acsf2","chr11",94463101,94465100,"-"
"26549","Itgb1bp2","chrX",98642448,98644447,"+"
"26554","Cul3","chr1",80337006,80339005,"-"
"26556","Homer1","chr13",94072450,94074449,"+"
"26557","Homer2","chr7",88763792,88765791,"-"
"26558","Homer3","chr8",72804898,72806897,"+"
"26559","Hunk","chr16",90384642,90386641,"+"
"26560","Krtap15","chr16",88827254,88829253,"+"
"26561","Mmp23","chr4",155027494,155029493,"-"
"26562","Ncdn","chr4",126430672,126432671,"-"
"26563","Ror1","chr4",99766396,99768395,"+"
"26564","Ror2","chr13",53381479,53383478,"-"
"26565","Pla2g10","chr16",13730679,13732678,"-"
"26568","Slc27a3","chr3",90193850,90195849,"-"
"26569","Slc27a4","chr2",29656200,29658199,"+"
"26570","Slc7a11","chr3",50247536,50249535,"-"
"26572","Cops3","chr11",59653270,59655269,"-"
"26611","Rcn2","chr9",55887652,55889651,"+"
"266459","Gm5039","chr12",89560207,89562206,"-"
"266614","Ly6g5b","chr17",35252346,35254345,"-"
"266620","Defb36","chr2",152428063,152430062,"+"
"266632","Irak4","chr15",94372091,94374090,"+"
"266645","Acmsd","chr1",129623990,129625989,"+"
"266690","Cyb5r4","chr9",86914864,86916863,"+"
"266692","Cpne1","chr2",155924109,155926108,"-"
"266744","Lgsn","chr1",31231280,31233279,"+"
"266781","Snx17","chr5",31493677,31495676,"+"
"266793","Snord87","chr1",9932625,9934624,"-"
"266815","Mill1","chr7",18828696,18830695,"+"
"267019","Rps15a","chr7",125259662,125261661,"-"
"26754","Cops5","chr1",10027980,10029979,"-"
"26757","Dpysl4","chr7",146269900,146271899,"+"
"268281","Shprh","chr10",10867228,10869227,"+"
"268288","Samd3","chr10",25947513,25949512,"+"
"268291","Rnf217","chr10",31329532,31331531,"-"
"268294","Zbtb24","chr10",41168202,41170201,"+"
"268297","Scml4","chr10",42578318,42580317,"+"
"268301","Sowahc","chr10",58682670,58684669,"+"
"268319","BC025920","chr10",81067053,81069052,"+"
"268345","Kcnc2","chr10",111706179,111708178,"+"
"268354","Fam19a2","chr10",122699132,122701131,"+"
"268373","Ppia","chr11",6313873,6315872,"+"
"268379","Abca13","chr11",9089945,9091944,"+"
"268390","Ahsa2","chr11",23397947,23399946,"-"
"268395","Mpg","chr11",32124505,32126504,"+"
"268396","Sh3pxd2b","chr11",32245811,32247810,"+"
"268417","Zkscan17","chr11",59320143,59322142,"-"
"268420","Alkbh5","chr11",60349185,60351184,"+"
"268445","Ankrd13b","chr11",77286671,77288670,"-"
"268448","Phf12","chr11",77794318,77796317,"+"
"268449","Rpl23a","chr11",77997087,77999086,"-"
"268451","Rab11fip4","chr11",79402714,79404713,"+"
"268465","Eme1","chr11",94515069,94517068,"-"
"268469","Zfp652","chr11",95608314,95610313,"+"
"268470","Ube2z","chr11",95926679,95928678,"-"
"268480","Rapgefl1","chr11",98696099,98698098,"+"
"268481","Krt222","chr11",99105382,99107381,"-"
"268482","Krt12","chr11",99283574,99285573,"-"
"268490","Lsm12","chr11",102046571,102048570,"-"
"268491","Gm1564","chr11",102524902,102526901,"+"
"268498","E030025P04Rik","chr11",109005684,109007683,"-"
"268510","Mgat5b","chr11",116778177,116780176,"+"
"268512","Slc26a11","chr11",119214871,119216870,"+"
"268515","Bahcc1","chr11",120092261,120094260,"+"
"268527","Greb1","chr12",16807693,16809692,"-"
"268534","Sntg2","chr12",30928217,30930216,"-"
"268564","Zbtb1","chr12",77469253,77471252,"+"
"268566","Gphn","chr12",79325642,79327641,"+"
"268567","Tmem229b","chr12",80081786,80083785,"-"
"268591","Serpina5","chr12",105337323,105339322,"+"
"268595","D430019H16Rik","chr12",106690186,106692185,"+"
"268656","Sptlc1","chr13",53472731,53474730,"-"
"268663","Cdhr2","chr13",54800824,54802823,"+"
"268670","Zfp759","chr13",67227164,67229163,"+"
"268686","S100z","chr13",96248611,96250610,"-"
"268697","Ccnb1","chr13",101556442,101558441,"-"
"268706","Slc38a9","chr13",113448974,113450973,"+"
"268709","Fam107a","chr14",9142291,9144290,"-"
"268721","Zswim8","chr14",21524774,21526773,"+"
"268739","Arhgef40","chr14",52602508,52604507,"+"
"26874","Abcd2","chr15",91022239,91024238,"-"
"268741","Tox4","chr14",52896821,52898820,"+"
"268747","Lrrc16b","chr14",56107930,56109929,"+"
"268749","Rnf31","chr14",56208627,56210626,"+"
"26875","Pclo","chr5",14512918,14514917,"+"
"268752","Wdfy2","chr14",63454527,63456526,"+"
"268756","Gulo","chr14",66628048,66630047,"-"
"268759","9930012K11Rik","chr14",70559310,70561309,"-"
"26876","Adh4","chr3",138076461,138078460,"+"
"26877","B3galt1","chr2",67953770,67955769,"+"
"26878","B3galt2","chr1",145485827,145487826,"+"
"268780","Egflam","chr15",7348305,7350304,"-"
"268782","Agxt2","chr15",10286334,10288333,"+"
"268783","Mtmr12","chr15",12132849,12134848,"+"
"26879","B3galnt1","chr3",69402784,69404783,"-"
"268807","Klhl38","chr15",58155725,58157724,"-"
"268816","Mroh5","chr15",73661414,73663413,"-"
"268822","Adck5","chr15",76404789,76406788,"+"
"26885","Casp8ap2","chr4",32700448,32702447,"+"
"268857","Nlrc3","chr16",3976633,3978632,"-"
"268859","Rbfox1","chr16",5882886,5884885,"+"
"26886","Cenph","chr13",101545855,101547854,"-"
"268860","Abat","chr16",8511522,8513521,"+"
"26887","Chst4","chr8",112563235,112565234,"-"
"268878","Atp13a5","chr16",29378819,29380818,"-"
"26888","Clec4a2","chr6",123070708,123072707,"+"
"268880","Xxylt1","chr16",31081519,31083518,"-"
"268882","Fbxo45","chr16",32247112,32249111,"-"
"268885","Stfa2l1","chr16",36154897,36156896,"+"
"26889","Cln8","chr8",14886536,14888535,"+"
"268890","Lsamp","chr16",39982484,39984483,"+"
"268902","Robo2","chr16",73962156,73964155,"-"
"268903","Nrip1","chr16",76373295,76375294,"-"
"268905","Krtap13-1","chr16",88727107,88729106,"+"
"26891","Cops4","chr5",100945328,100947327,"+"
"26893","Cops6","chr5",138600328,138602327,"+"
"268930","Pkmyt1","chr17",23861303,23863302,"+"
"268932","Caskin1","chr17",24623728,24625727,"+"
"268933","Wdr24","chr17",25958572,25960571,"+"
"268934","Grm4","chr17",27640479,27642478,"-"
"268935","Scube3","chr17",28277471,28279470,"+"
"268936","Brpf3","chr17",28936071,28938070,"+"
"26894","Cops7a","chr6",124915548,124917547,"-"
